NOME,NUM,Latitude,Longitude,SEQ,GRUPO,SENTIDO,TIPO,ID_do_Itinerario,COD
"R. Brasilino Moura, 331 - São Lourenço",120053,-25.401821606958,-49.269077460327,18,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Antônio Corrêa Bittencourt, 465 - Ahu",120499,-25.395195595446,-49.264670179191,13,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Deputado Vanderlei Júnior, 127 - Ahu",120678,-25.39993979597,-49.264671520295,16,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Marechal Hermes, 986 - Centro Cívico",120701,-25.40592914331,-49.267106966081,21,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Prof. Benedito N dos Santos, 42 - Centro Cívico",120706,-25.413776385812,-49.266247318092,24,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Joel Jensem Júnior, 1 - Barreirinha",120422,-25.3764248,-49.2569988,29,,Mal. Hermes/Sta Efigênia,Chapéu chinês,14355,260
"Avenida Anita Garibaldi, 4222  - Barreirinha",120023,-25.376397267673,-49.262598365111,25,,Mal. Hermes/Sta Efigênia,Novo mobiliário,14355,260
"R. Prefeito Rosalvo G Mello Leitão, 101 - Centro Cívico",120113,-25.414183583213,-49.265916974491,6,,Mal. Hermes/Sta Efigênia,Novo mobiliário,14355,260
"Rua Prof. Guilherme Butler, 1515 - Barreirinha",120139,-25.374673397416,-49.261123866981,26,,Mal. Hermes/Sta Efigênia,Chapéu chinês,14355,260
"R. Eurípedes Garcez do Nascimento, 553-501 - Ahú",120983,-25.407345691344,-49.266127527899,9,,Mal. Hermes/Sta Efigênia,Novo mobiliário,14355,260
"Rua Dep. Mário de Barros, 1129 - Juvevê",120114,-25.412710335095,-49.26529842576,7,,Mal. Hermes/Sta Efigênia,Novo mobiliário,14355,260
"Rua Francisco Scremin, 275 - Ahu",120680,-25.402536245581,-49.269275532069,19,,Praça Carlos Gomes,Novo mobiliário,594,260
"Av. Cândido de Abreu, 51  - Centro Cívico",103155,-25.423025625694,-49.269924530035,27,,Praça Carlos Gomes,Novo mobiliário,594,260
"Av. Cândido de Abreu, 501 - Centro Cívico",110121,-25.419969941954,-49.269177812233,26,,Praça Carlos Gomes,Novo mobiliário,594,260
"Av. Anita Garibaldi, 3431 - São Lourenço",120020,-25.38307,-49.26186,7,,Praça Carlos Gomes,Novo mobiliário,594,260
"R. Mal. Hermes, 910 - Centro Cívico",120100,-25.410867950571,-49.266023353639,23,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Heitor S de França, 295 - Centro Cívico",110426,-25.420488362885,-49.26838521947,4,,Mal. Hermes/Sta Efigênia,Chapéu chinês,14355,260
"Av. Anita Garibaldi, 3696 - São Lourenço",120021,-25.380553545525,-49.261349604431,24,,Mal. Hermes/Sta Efigênia,Novo mobiliário,14355,260
"R. Casimiro José Marquês de Abreu, 32",120677,-25.400613370096,-49.26599384934,14,,Mal. Hermes/Sta Efigênia,Placa em cano,14355,260
"Rua Francisco Scremin, 10 - Ahu",120679,-25.403478422559,-49.268954337539,12,,Mal. Hermes/Sta Efigênia,Placa em poste,14355,260
"Av. Cândido de Abreu, 707 - Centro Cívico",110120,-25.418154239854,-49.268749999896,25,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Prof. Guilherme Butler, 1488 - Barreirinha",120423,-25.375034489792,-49.258381308264,2,,Praça Carlos Gomes,Domus,594,260
"Rua Marechal Hermes, 1266 - Ahú",120703,-25.408280462347,-49.266673789325,22,,Praça Carlos Gomes,Novo mobiliário,594,260
"Avenida Anita Garibaldi, 4080 - Barreirinha",120426,-25.377420338127,-49.262723594524,5,,Praça Carlos Gomes,Novo mobiliário,594,260
"Rua Marechal Hermes, 985 - Centro Cívico",120702,-25.406784999671,-49.266931951943,10,,Mal. Hermes/Sta Efigênia,Placa em poste,14355,260
"Rua Alberto Folloni, 477 - Juvevê",120098,-25.41108,-49.26382,8,,Mal. Hermes/Sta Efigênia,Novo mobiliário,14355,260
"Rua Ébano Pereira, 218 - Centro",110051,-25.429273320617,-49.274994240349,29,,Praça Carlos Gomes,Placa em cano,594,260
"Rua Barão do Serro Azul, 217 - São Francisco",110122,-25.427695151901,-49.271025854244,28,,Praça Carlos Gomes,Placa em cano,594,260
"Rua José Nicoleti, 2 - Ahu",120496,-25.394735218767,-49.262789950672,18,,Mal. Hermes/Sta Efigênia,Sem demarcação,14355,260
"Rua Santo Afonso de Ligório, 288 - Cabral",120958,-25.397905134464,-49.255102629465,32,,Ahú,Novo mobiliário,596,265
"Rua Marechal Mallet, 470 - Ahu",120712,-25.40755420375,-49.260647084656,25,,Ahú,Novo mobiliário,596,265
