CODIGOLINHA,SENT,ITINERARIO
60,IDA,494
684,VOLTA,12915
684,IDA,12915
685,VOLTA,926
685,IDA,926
801,VOLTA,13954
801,IDA,13953
644,IDA,13653
644,VOLTA,857
627,IDA,13793
627,VOLTA,13794
674,IDA,913
674,VOLTA,912
772,VOLTA,9954
772,IDA,9953
712,IDA,14115
619,IDA,11435
619,VOLTA,11435
654,VOLTA,879
828,IDA,12813
828,VOLTA,12814
712,VOLTA,14116
630,IDA,833
630,VOLTA,832
617,IDA,11433
617,VOLTA,11453
628,IDA,12573
623,VOLTA,820
623,IDA,821
612,VOLTA,799
653,VOLTA,2282
646,VOLTA,861
646,IDA,861
680,VOLTA,13713
622,IDA,818
622,VOLTA,818
265,IDA,596
265,VOLTA,597
632,IDA,835
632,VOLTA,836
670,VOLTA,906
864,VOLTA,14793
864,IDA,14795
673,IDA,911
673,VOLTA,910
865,VOLTA,9914
865,IDA,9894
670,IDA,907
607,IDA,792
607,VOLTA,791
210,IDA,6211
210,VOLTA,6212
707,IDA,15115
707,VOLTA,15116
600,IDA,8196
611,VOLTA,797
721,IDA,2042
721,VOLTA,2042
860,IDA,1014
860,VOLTA,1013
611,IDA,798
701,IDA,935
701,VOLTA,935
777,IDA,967
777,VOLTA,968
703,VOLTA,939
703,IDA,938
706,IDA,6723
706,VOLTA,6724
778,IDA,969
778,VOLTA,970
724,IDA,15078
724,VOLTA,15078
718,CIRCULAR,952
722,IDA,15079
722,VOLTA,14277
711,IDA,940
711,VOLTA,941
823,VOLTA,996
823,IDA,996
760,VOLTA,959
760,IDA,959
779,VOLTA,14255
779,IDA,973
814,IDA,986
825,IDA,3545
825,VOLTA,3547
761,VOLTA,961
814,VOLTA,2802
862,IDA,12254
862,VOLTA,12254
762,VOLTA,1801
762,IDA,1801
761,IDA,962
861,IDA,1016
861,VOLTA,1015
713,VOLTA,944
713,IDA,944
304,IDA,1397
304,VOLTA,1396
702,IDA,14394
702,VOLTA,14394
472,IDA,707
629,IDA,830
629,VOLTA,831
821,VOLTA,989
821,IDA,990
912,IDA,12694
901,IDA,1030
901,VOLTA,1029
967,IDA,1059
967,VOLTA,1059
972,IDA,1063
972,VOLTA,1064
917,IDA,11174
965,IDA,1057
965,VOLTA,1058
913,VOLTA,12413
917,VOLTA,11193
913,IDA,12835
958,IDA,13373
150,IDA,498
150,VOLTA,499
948,VOLTA,8118
915,VOLTA,1042
911,VOLTA,5881
911,IDA,5881
464,VOLTA,11133
928,IDA,8113
928,VOLTA,8121
912,VOLTA,12694
915,IDA,1044
336,IDA,642
336,VOLTA,641
469,IDA,13355
305,VOLTA,623
305,IDA,623
